#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
3.64368 0.477321 0.299262 0.338402 0 5.33561 0.882542
3.66868 0.477448 0.29912 0.338246 0 5.38847 0.883373
3.69368 0.477573 0.29898 0.338092 0 5.4415 0.884194
3.71868 0.477697 0.298842 0.33794 0 5.4947 0.885006
3.74368 0.477819 0.298705 0.33779 0 5.54808 0.885808
3.76868 0.47794 0.298571 0.337642 0 5.60163 0.886601
3.79368 0.478059 0.298438 0.337496 0 5.65534 0.887385
3.81868 0.478176 0.298306 0.337352 0 5.70923 0.888161
3.84368 0.478293 0.298177 0.337209 0 5.76328 0.888927
3.86868 0.478408 0.298048 0.337069 0 5.8175 0.889685
3.89368 0.478521 0.297922 0.33693 0 5.8719 0.890434
3.91868 0.478633 0.297797 0.336793 0 5.92645 0.891176
3.94368 0.478744 0.297674 0.336657 0 5.98118 0.891908
3.96868 0.478854 0.297552 0.336523 0 6.03607 0.892633
3.99368 0.478962 0.297431 0.336391 0 6.09113 0.89335
4.01868 0.479069 0.297312 0.33626 0 6.14635 0.894059
4.04368 0.479175 0.297195 0.336131 0 6.20174 0.894761
4.06868 0.479279 0.297079 0.336003 0 6.2573 0.895454
4.09368 0.479383 0.296964 0.335877 0 6.31302 0.896141
4.11868 0.479485 0.296851 0.335753 0 6.3689 0.89682
4.14368 0.479586 0.296739 0.335629 0 6.42494 0.897492
4.16868 0.479686 0.296628 0.335508 0 6.48115 0.898156
4.19368 0.479785 0.296518 0.335388 0 6.53752 0.898814
4.21868 0.479883 0.29641 0.335269 0 6.59405 0.899465
4.24368 0.479979 0.296303 0.335151 0 6.65074 0.900109
4.26868 0.480075 0.296198 0.335035 0 6.7076 0.900746
4.29368 0.480169 0.296093 0.33492 0 6.76461 0.901377
4.31868 0.480263 0.29599 0.334806 0 6.82179 0.902001
4.34368 0.480355 0.295888 0.334694 0 6.87912 0.902619
4.36868 0.480447 0.295787 0.334583 0 6.93661 0.903231
4.39368 0.480537 0.295687 0.334473 0 6.99426 0.903836
4.41868 0.480627 0.295588 0.334365 0 7.05207 0.904435
4.44368 0.480715 0.29549 0.334257 0 7.11004 0.905028
4.46868 0.480803 0.295394 0.334151 0 7.16817 0.905616
4.49368 0.480889 0.295298 0.334046 0 7.22645 0.906197
4.51868 0.480975 0.295204 0.333942 0 7.28489 0.906773
4.54368 0.48106 0.29511 0.333839 0 7.34349 0.907343
4.56868 0.481144 0.295018 0.333738 0 7.40224 0.907907
4.59368 0.481227 0.294926 0.333637 0 7.46114 0.908466
4.61868 0.48131 0.294836 0.333537 0 7.52021 0.909019
4.64368 0.481391 0.294746 0.333439 0 7.57942 0.909567
4.66868 0.481472 0.294658 0.333341 0 7.63879 0.91011
4.69368 0.481552 0.29457 0.333245 0 7.69832 0.910647
4.71868 0.481631 0.294483 0.33315 0 7.758 0.91118
4.74368 0.481709 0.294397 0.333055 0 7.81783 0.911707
4.76868 0.481786 0.294312 0.332962 0 7.87781 0.912229
4.79368 0.481863 0.294228 0.332869 0 7.93795 0.912747
4.81868 0.481939 0.294145 0.332778 0 7.99824 0.913259
4.84368 0.482014 0.294063 0.332687 0 8.05868 0.913767
4.86868 0.482088 0.293981 0.332597 0 8.11927 0.91427
4.89368 0.482162 0.2939 0.332509 0 8.18001 0.914768
4.91868 0.482235 0.29382 0.332421 0 8.2409 0.915262
4.94368 0.482307 0.293741 0.332334 0 8.30194 0.915751
4.96868 0.482379 0.293663 0.332247 0 8.36314 0.916236
4.99368 0.48245 0.293585 0.332162 0 8.42448 0.916716
5.01868 0.48252 0.293509 0.332078 0 8.48597 0.917192
5.04368 0.482589 0.293433 0.331994 0 8.54761 0.917663
5.06868 0.482658 0.293357 0.331911 0 8.60939 0.918131
5.09368 0.482726 0.293283 0.331829 0 8.67133 0.918594
5.11868 0.482794 0.293209 0.331748 0 8.73341 0.919053
5.14368 0.482861 0.293136 0.331667 0 8.79564 0.919508
5.16868 0.482927 0.293063 0.331588 0 8.85802 0.919959
5.19368 0.482993 0.292992 0.331509 0 8.92054 0.920405
5.21868 0.483058 0.292921 0.331431 0 8.98321 0.920848
5.24368 0.483123 0.29285 0.331353 0 9.04603 0.921287
5.26868 0.483187 0.292781 0.331276 0 9.10899 0.921723
5.29368 0.48325 0.292712 0.3312 0 9.1721 0.922154
5.31868 0.483313 0.292643 0.331125 0 9.23535 0.922582
5.34368 0.483375 0.292575 0.331051 0 9.29875 0.923006
5.36868 0.483437 0.292508 0.330977 0 9.36229 0.923426
5.39368 0.483498 0.292442 0.330903 0 9.42597 0.923843
5.41868 0.483558 0.292376 0.330831 0 9.4898 0.924256
5.44368 0.483618 0.292311 0.330759 0 9.55377 0.924666
5.46868 0.483678 0.292246 0.330688 0 9.61788 0.925073
5.49368 0.483737 0.292182 0.330617 0 9.68214 0.925475
5.51868 0.483795 0.292118 0.330547 0 9.74654 0.925875
5.54368 0.483853 0.292055 0.330478 0 9.81108 0.926271
5.56868 0.48391 0.291993 0.330409 0 9.87576 0.926664
5.59368 0.483967 0.291931 0.330341 0 9.94059 0.927054
5.61868 0.484024 0.29187 0.330274 0 10.0056 0.92744
5.64368 0.48408 0.291809 0.330207 0 10.0707 0.927823
5.66868 0.484135 0.291749 0.330141 0 10.1359 0.928204
5.69368 0.48419 0.291689 0.330075 0 10.2013 0.928581
5.71868 0.484245 0.29163 0.33001 0 10.2668 0.928955
5.74368 0.484299 0.291571 0.329945 0 10.3325 0.929325
5.76868 0.484353 0.291513 0.329881 0 10.3983 0.929693
5.79368 0.484406 0.291455 0.329818 0 10.4642 0.930058
5.81868 0.484458 0.291398 0.329755 0 10.5303 0.93042
5.84368 0.484511 0.291341 0.329692 0 10.5965 0.93078
5.86868 0.484563 0.291285 0.32963 0 10.6629 0.931136
5.89368 0.484614 0.291229 0.329569 0 10.7294 0.93149
5.91868 0.484665 0.291174 0.329508 0 10.796 0.93184
5.94368 0.484716 0.291119 0.329448 0 10.8628 0.932188
5.96868 0.484766 0.291065 0.329388 0 10.9297 0.932534
5.99368 0.484816 0.291011 0.329329 0 10.9968 0.932876
6.01868 0.484865 0.290958 0.32927 0 11.064 0.933216
6.04368 0.484914 0.290905 0.329212 0 11.1313 0.933553
6.06868 0.484963 0.290852 0.329154 0 11.1987 0.933888
6.09368 0.485011 0.2908 0.329096 0 11.2663 0.93422
6.11868 0.485059 0.290749 0.329039 0 11.3341 0.93455
6.14368 0.485106 0.290697 0.328983 0 11.4019 0.934877
6.16868 0.485153 0.290646 0.328927 0 11.4699 0.935201
6.19368 0.4852 0.290596 0.328871 0 11.538 0.935524
6.21868 0.485246 0.290546 0.328816 0 11.6063 0.935843
6.24368 0.485292 0.290496 0.328762 0 11.6747 0.936161
6.26868 0.485338 0.290447 0.328707 0 11.7432 0.936476
6.29368 0.485383 0.290398 0.328654 0 11.8119 0.936788
6.31868 0.485428 0.29035 0.3286 0 11.8807 0.937098
6.34368 0.485472 0.290302 0.328547 0 11.9496 0.937406
6.36868 0.485517 0.290254 0.328495 0 12.0187 0.937712
6.39368 0.48556 0.290207 0.328443 0 12.0879 0.938016
6.41868 0.485604 0.29016 0.328391 0 12.1572 0.938317
6.44368 0.485647 0.290113 0.32834 0 12.2267 0.938616
6.46868 0.48569 0.290067 0.328289 0 12.2963 0.938913
6.49368 0.485733 0.290021 0.328238 0 12.366 0.939207
6.51868 0.485775 0.289976 0.328188 0 12.4359 0.9395
6.54368 0.485817 0.28993 0.328138 0 12.5059 0.93979
6.56868 0.485859 0.289886 0.328089 0 12.576 0.940079
6.59368 0.4859 0.289841 0.32804 0 12.6462 0.940365
6.61868 0.485941 0.289797 0.327991 0 12.7166 0.940649
6.64368 0.485982 0.289753 0.327943 0 12.7871 0.940932
6.66868 0.486022 0.28971 0.327895 0 12.8578 0.941212
6.69368 0.486062 0.289667 0.327848 0 12.9285 0.94149
6.71868 0.486102 0.289624 0.3278 0 12.9994 0.941767
6.74368 0.486141 0.289581 0.327754 0 13.0705 0.942041
6.76868 0.486181 0.289539 0.327707 0 13.1416 0.942314
6.79368 0.48622 0.289497 0.327661 0 13.2129 0.942584
6.81868 0.486258 0.289456 0.327615 0 13.2843 0.942853
6.84368 0.486297 0.289414 0.32757 0 13.3559 0.94312
6.86868 0.486335 0.289373 0.327525 0 13.4275 0.943385
6.89368 0.486373 0.289333 0.32748 0 13.4993 0.943648
6.91868 0.48641 0.289292 0.327435 0 13.5713 0.943909
6.94368 0.486448 0.289252 0.327391 0 13.6433 0.944169
6.96868 0.486485 0.289212 0.327347 0 13.7155 0.944427
6.99368 0.486521 0.289173 0.327304 0 13.7878 0.944683
